2020-07-18 00:30;21;149
2020-07-18 00:40;21;149
2020-07-18 00:50;21;149
2020-07-18 01:00;21;149
2020-07-18 01:10;21;149
2020-07-18 01:20;21;149
2020-07-18 01:30;21;149
2020-07-18 01:40;21;149
2020-07-18 01:50;21;149
2020-07-18 02:00;21;149
2020-07-18 02:10;21;149
2020-07-18 02:20;21;149
2020-07-18 02:30;21;149
2020-07-18 02:40;21;149
2020-07-18 02:50;21;149
2020-07-18 03:00;21;149
2020-07-18 03:10;21;149
2020-07-18 03:20;21;149
2020-07-18 03:30;21;149
2020-07-18 03:40;21;149
2020-07-18 03:50;21;149
2020-07-18 04:00;21;149
2020-07-18 04:10;21;149
2020-07-18 04:20;10;149
2020-07-18 04:30;2;149
2020-07-18 04:40;2;149
2020-07-18 04:50;2;149
2020-07-18 05:00;2;149
2020-07-18 05:10;1;149
2020-07-18 05:20;1;149
2020-07-18 05:30;3;149
2020-07-18 05:40;6;149
2020-07-18 05:50;6;149
2020-07-18 06:00;7;149
2020-07-18 06:10;6;149
2020-07-18 06:20;9;149
2020-07-18 06:30;10;149
2020-07-18 06:40;12;149
2020-07-18 06:50;14;149
2020-07-18 07:00;16;149
2020-07-18 07:10;17;149
2020-07-18 07:20;19;149
2020-07-18 07:30;23;149
2020-07-18 07:40;25;149
2020-07-18 07:50;24;149
2020-07-18 08:00;21;149
2020-07-18 08:10;18;149
2020-07-18 08:20;17;149
2020-07-18 08:30;19;149
2020-07-18 08:40;21;149
2020-07-18 08:50;24;149
2020-07-18 09:00;25;149
2020-07-18 09:10;27;149
2020-07-18 09:20;32;149
2020-07-18 09:30;34;149
2020-07-18 09:40;43;149
2020-07-18 09:50;55;149
2020-07-18 10:00;56;149
2020-07-18 10:10;58;149
2020-07-18 10:20;57;149
2020-07-18 10:30;61;149
2020-07-18 10:40;60;149
2020-07-18 10:50;64;149
2020-07-18 11:00;60;149
2020-07-18 11:10;57;149
2020-07-18 11:20;52;149
2020-07-18 11:30;53;149
2020-07-18 11:40;57;149
2020-07-18 11:50;62;149
2020-07-18 12:00;63;149
