date;visitors;capacity
2021-09-23 00:00;0;95
2021-09-23 00:10;0;95
2021-09-23 00:20;0;95
2021-09-23 00:30;0;95
2021-09-23 00:40;0;95
2021-09-23 00:50;0;95
2021-09-23 01:00;0;95
2021-09-23 01:10;0;95
2021-09-23 01:20;0;95
2021-09-23 01:30;0;95
2021-09-23 01:40;0;95
2021-09-23 01:50;0;95
2021-09-23 02:00;0;95
2021-09-23 02:10;0;95
2021-09-23 02:20;0;95
2021-09-23 02:30;0;95
2021-09-23 02:40;0;95
2021-09-23 02:50;0;95
2021-09-23 03:00;0;95
2021-09-23 03:10;0;95
2021-09-23 03:20;0;95
2021-09-23 03:30;0;95
2021-09-23 03:40;0;95
2021-09-23 03:50;0;95
2021-09-23 04:00;0;95
2021-09-23 04:10;0;95
2021-09-23 04:20;0;95
2021-09-23 04:30;0;95
2021-09-23 04:40;0;95
2021-09-23 04:50;0;95
2021-09-23 05:00;0;95
2021-09-23 05:10;0;95
2021-09-23 05:20;0;95
2021-09-23 05:30;0;95
2021-09-23 05:40;0;95
2021-09-23 05:50;0;95
2021-09-23 06:00;0;95
2021-09-23 06:10;0;95
2021-09-23 06:20;0;95
2021-09-23 06:30;0;95
2021-09-23 06:40;0;95
2021-09-23 06:50;0;95
2021-09-23 07:00;0;95
2021-09-23 07:10;0;95
2021-09-23 07:20;0;95
2021-09-23 07:30;0;95
2021-09-23 07:40;0;95
2021-09-23 07:50;0;95
2021-09-23 08:00;0;95
2021-09-23 08:10;6;95
2021-09-23 08:20;13;95
2021-09-23 08:30;19;95
2021-09-23 08:40;23;95
2021-09-23 08:50;29;95
2021-09-23 09:00;40;95
2021-09-23 09:10;42;95
2021-09-23 09:20;47;95
2021-09-23 09:30;50;95
2021-09-23 09:40;48;95
2021-09-23 09:50;50;95
2021-09-23 10:00;50;95
2021-09-23 10:10;47;95
2021-09-23 10:20;41;95
2021-09-23 10:30;36;95
2021-09-23 10:40;37;95
2021-09-23 10:50;36;95
2021-09-23 11:00;39;95
2021-09-23 11:10;37;95
2021-09-23 11:20;34;95
2021-09-23 11:30;29;95
2021-09-23 11:40;29;95
2021-09-23 11:50;28;95
2021-09-23 12:00;25;95
2021-09-23 12:10;27;95
2021-09-23 12:20;29;95
2021-09-23 12:30;29;95
2021-09-23 12:40;28;95
2021-09-23 12:50;26;95
2021-09-23 13:00;29;95
2021-09-23 13:10;27;95
2021-09-23 13:20;23;95
2021-09-23 13:30;26;95
2021-09-23 13:40;27;95
2021-09-23 13:50;24;95
2021-09-23 14:00;30;95
2021-09-23 14:10;31;95
2021-09-23 14:20;31;95
2021-09-23 14:30;29;95
2021-09-23 14:40;26;95
2021-09-23 14:50;25;95
2021-09-23 15:00;29;95
2021-09-23 15:10;28;95
2021-09-23 15:20;25;95
2021-09-23 15:30;29;95
2021-09-23 15:40;34;95
2021-09-23 15:50;34;95
2021-09-23 16:00;43;95
2021-09-23 16:10;47;95
2021-09-23 16:20;47;95
2021-09-23 16:30;44;95
2021-09-23 16:40;49;95
2021-09-23 16:50;49;95
2021-09-23 17:00;53;95
2021-09-23 17:10;58;95
2021-09-23 17:20;59;95
2021-09-23 17:30;62;95
2021-09-23 17:40;64;95
2021-09-23 17:50;65;95
2021-09-23 18:00;68;95
2021-09-23 18:10;70;95
2021-09-23 18:20;77;95
2021-09-23 18:30;71;95
2021-09-23 18:40;53;95
2021-09-23 18:50;49;95
2021-09-23 19:00;42;95
2021-09-23 19:10;40;95
2021-09-23 19:20;33;95
2021-09-23 19:30;38;95
2021-09-23 19:40;40;95
2021-09-23 19:50;36;95
2021-09-23 20:00;37;95
2021-09-23 20:10;36;95
2021-09-23 20:20;38;95
2021-09-23 20:30;35;95
2021-09-23 20:40;33;95
2021-09-23 20:50;35;95
2021-09-23 21:00;32;95
2021-09-23 21:10;30;95
2021-09-23 21:20;30;95
2021-09-23 21:30;28;95
2021-09-23 21:40;20;95
2021-09-23 21:50;18;95
2021-09-23 22:00;13;95
2021-09-23 22:10;10;95
2021-09-23 22:20;4;95
2021-09-23 22:30;0;95
2021-09-23 22:40;0;95
2021-09-23 22:50;0;95
2021-09-23 23:00;0;95
2021-09-23 23:10;0;95
2021-09-23 23:20;0;95
2021-09-23 23:30;0;95
2021-09-23 23:40;0;95
2021-09-23 23:50;0;95
