date;visitors;capacity
2022-03-10 00:00;6;70
2022-03-10 00:10;6;70
2022-03-10 00:20;6;70
2022-03-10 00:30;6;70
2022-03-10 00:40;6;70
2022-03-10 00:50;6;70
2022-03-10 01:00;6;70
2022-03-10 01:10;6;70
2022-03-10 01:20;6;70
2022-03-10 01:30;6;70
2022-03-10 01:40;6;70
2022-03-10 01:50;6;70
2022-03-10 02:00;6;70
2022-03-10 02:10;6;70
2022-03-10 02:20;6;70
2022-03-10 02:30;6;70
2022-03-10 02:40;6;70
2022-03-10 02:50;6;70
2022-03-10 03:00;6;70
2022-03-10 03:10;6;70
2022-03-10 03:20;6;70
2022-03-10 03:30;6;70
2022-03-10 03:40;6;70
2022-03-10 03:50;6;70
2022-03-10 04:00;0;70
2022-03-10 04:10;0;70
2022-03-10 04:20;0;70
2022-03-10 04:30;0;70
2022-03-10 04:40;0;70
2022-03-10 04:50;0;70
2022-03-10 05:00;0;70
2022-03-10 05:10;0;70
2022-03-10 05:20;0;70
2022-03-10 05:30;0;70
2022-03-10 05:40;0;70
2022-03-10 05:50;0;70
2022-03-10 06:00;0;70
2022-03-10 06:10;0;70
2022-03-10 06:20;0;70
2022-03-10 06:30;0;70
2022-03-10 06:40;0;70
2022-03-10 06:50;0;70
2022-03-10 07:00;0;70
2022-03-10 07:10;0;70
2022-03-10 07:20;0;70
2022-03-10 07:30;0;70
2022-03-10 07:40;0;70
2022-03-10 07:50;0;70
2022-03-10 08:00;0;70
2022-03-10 08:10;2;70
2022-03-10 08:20;6;70
2022-03-10 08:30;7;70
2022-03-10 08:40;7;70
2022-03-10 08:50;10;70
2022-03-10 09:00;12;70
2022-03-10 09:10;13;70
2022-03-10 09:20;18;70
2022-03-10 09:30;18;70
2022-03-10 09:40;19;70
2022-03-10 09:50;16;70
2022-03-10 10:00;14;70
2022-03-10 10:10;13;70
2022-03-10 10:20;14;70
2022-03-10 10:30;14;70
2022-03-10 10:40;15;70
2022-03-10 10:50;13;70
2022-03-10 11:00;14;70
2022-03-10 11:10;15;70
2022-03-10 11:20;15;70
2022-03-10 11:30;14;70
2022-03-10 11:40;13;70
2022-03-10 11:50;11;70
2022-03-10 12:00;10;70
2022-03-10 12:10;11;70
2022-03-10 12:20;13;70
2022-03-10 12:30;14;70
2022-03-10 12:40;16;70
2022-03-10 12:50;15;70
2022-03-10 13:00;18;70
2022-03-10 13:10;21;70
2022-03-10 13:20;20;70
2022-03-10 13:30;20;70
2022-03-10 13:40;20;70
2022-03-10 13:50;17;70
2022-03-10 14:00;17;70
2022-03-10 14:10;16;70
2022-03-10 14:20;18;70
2022-03-10 14:30;16;70
2022-03-10 14:40;16;70
2022-03-10 14:50;17;70
2022-03-10 15:00;17;70
2022-03-10 15:10;17;70
2022-03-10 15:20;15;70
2022-03-10 15:30;13;70
2022-03-10 15:40;12;70
2022-03-10 15:50;12;70
2022-03-10 16:00;17;70
2022-03-10 16:10;17;70
2022-03-10 16:20;17;70
2022-03-10 16:30;20;70
2022-03-10 16:40;24;70
2022-03-10 16:50;30;70
2022-03-10 17:00;36;70
2022-03-10 17:10;38;70
2022-03-10 17:20;38;70
2022-03-10 17:30;44;70
2022-03-10 17:40;45;70
2022-03-10 17:50;42;70
2022-03-10 18:00;38;70
2022-03-10 18:10;37;70
2022-03-10 18:20;35;70
2022-03-10 18:30;34;70
2022-03-10 18:40;38;70
2022-03-10 18:50;38;70
2022-03-10 19:00;39;70
2022-03-10 19:10;40;70
2022-03-10 19:20;41;70
2022-03-10 19:30;44;70
2022-03-10 19:40;42;70
2022-03-10 19:50;42;70
2022-03-10 20:00;46;70
2022-03-10 20:10;40;70
2022-03-10 20:20;43;70
2022-03-10 20:30;39;70
2022-03-10 20:40;35;70
2022-03-10 20:50;31;70
2022-03-10 21:00;34;70
2022-03-10 21:10;25;70
2022-03-10 21:20;24;70
2022-03-10 21:30;23;70
2022-03-10 21:40;17;70
2022-03-10 21:50;17;70
2022-03-10 22:00;12;70
2022-03-10 22:10;12;70
2022-03-10 22:20;6;70
2022-03-10 22:30;1;70
2022-03-10 22:40;0;70
2022-03-10 22:50;0;70
2022-03-10 23:00;0;70
2022-03-10 23:10;0;70
2022-03-10 23:20;0;70
2022-03-10 23:30;0;70
2022-03-10 23:40;0;70
2022-03-10 23:50;0;70
