date;visitors;
2020-06-14 00:00;0;
2020-06-14 00:10;0;
2020-06-14 00:20;0;
2020-06-14 00:30;0;
2020-06-14 00:40;0;
2020-06-14 00:50;0;
2020-06-14 01:00;0;
2020-06-14 01:10;0;
2020-06-14 01:20;0;
2020-06-14 01:30;0;
2020-06-14 01:40;0;
2020-06-14 01:50;0;
2020-06-14 02:00;0;
2020-06-14 02:10;0;
2020-06-14 02:20;0;
2020-06-14 02:30;0;
2020-06-14 02:40;0;
2020-06-14 02:50;0;
2020-06-14 03:00;0;
2020-06-14 03:10;0;
2020-06-14 03:20;0;
2020-06-14 03:30;0;
2020-06-14 03:40;0;
2020-06-14 03:50;0;
2020-06-14 04:00;0;
2020-06-14 04:10;0;
2020-06-14 04:20;0;
2020-06-14 04:30;0;
2020-06-14 04:40;0;
2020-06-14 04:50;0;
2020-06-14 05:00;0;
2020-06-14 05:10;0;
2020-06-14 05:20;0;
2020-06-14 05:30;0;
2020-06-14 05:40;0;
2020-06-14 05:50;0;
2020-06-14 06:00;0;
2020-06-14 06:10;0;
2020-06-14 06:20;0;
2020-06-14 06:30;0;
2020-06-14 06:40;0;
2020-06-14 06:50;0;
2020-06-14 07:00;0;
2020-06-14 07:10;0;
2020-06-14 07:20;0;
2020-06-14 07:30;0;
2020-06-14 07:40;0;
2020-06-14 07:50;0;
2020-06-14 08:00;0;
2020-06-14 08:10;8;
2020-06-14 08:20;8;
2020-06-14 08:30;13;
2020-06-14 08:40;15;
2020-06-14 08:50;17;
2020-06-14 09:00;20;
2020-06-14 09:10;22;
2020-06-14 09:20;19;
2020-06-14 09:30;19;
2020-06-14 09:40;26;
2020-06-14 09:50;30;
2020-06-14 10:00;33;
2020-06-14 10:10;38;
2020-06-14 10:20;34;
2020-06-14 10:30;37;
2020-06-14 12:30;36;
2020-06-14 12:40;35;
2020-06-14 12:50;36;
2020-06-14 13:00;38;
2020-06-14 13:10;41;
2020-06-14 13:20;43;
2020-06-14 13:30;42;
2020-06-14 13:40;45;
2020-06-14 13:50;42;
2020-06-14 14:00;42;
2020-06-14 14:10;44;
