date;visitors;capacity
2022-03-11 00:00;-20;150
2022-03-11 00:10;-20;150
2022-03-11 00:20;-20;150
2022-03-11 00:30;-20;150
2022-03-11 00:40;-20;150
2022-03-11 00:50;-20;150
2022-03-11 01:00;-20;150
2022-03-11 01:10;-20;150
2022-03-11 01:20;-20;150
2022-03-11 01:30;-20;150
2022-03-11 01:40;-20;150
2022-03-11 01:50;-20;150
2022-03-11 02:00;-20;150
2022-03-11 02:10;-20;150
2022-03-11 02:20;-20;150
2022-03-11 02:30;-20;150
2022-03-11 02:40;-20;150
2022-03-11 02:50;-20;150
2022-03-11 03:00;-20;150
2022-03-11 03:10;-20;150
2022-03-11 03:20;-20;150
2022-03-11 03:30;-20;150
2022-03-11 03:40;-20;150
2022-03-11 03:50;-20;150
2022-03-11 04:00;-20;150
2022-03-11 04:10;-20;150
2022-03-11 04:20;-20;150
2022-03-11 04:30;-20;150
2022-03-11 04:40;-20;150
2022-03-11 04:50;-20;150
2022-03-11 05:00;-20;150
2022-03-11 05:10;-20;150
2022-03-11 05:20;-20;150
2022-03-11 05:30;-20;150
2022-03-11 05:40;-20;150
2022-03-11 05:50;-20;150
2022-03-11 06:00;-20;150
2022-03-11 06:10;-20;150
2022-03-11 06:20;-20;150
2022-03-11 06:30;-20;150
2022-03-11 06:40;-20;150
2022-03-11 06:50;-20;150
2022-03-11 07:00;-20;150
2022-03-11 07:10;-13;150
2022-03-11 07:20;-10;150
2022-03-11 07:30;-7;150
2022-03-11 07:40;-3;150
2022-03-11 07:50;-1;150
2022-03-11 08:00;1;150
2022-03-11 08:10;7;150
2022-03-11 08:20;8;150
2022-03-11 08:30;9;150
2022-03-11 08:40;8;150
2022-03-11 08:50;7;150
2022-03-11 09:00;5;150
2022-03-11 09:10;5;150
2022-03-11 09:20;5;150
2022-03-11 09:30;12;150
2022-03-11 09:40;8;150
2022-03-11 09:50;5;150
2022-03-11 10:00;3;150
2022-03-11 10:10;4;150
2022-03-11 10:20;7;150
2022-03-11 10:30;6;150
2022-03-11 10:40;4;150
2022-03-11 10:50;6;150
2022-03-11 11:00;5;150
2022-03-11 11:10;8;150
2022-03-11 11:20;11;150
2022-03-11 11:30;13;150
2022-03-11 11:40;15;150
2022-03-11 11:50;14;150
2022-03-11 12:00;15;150
2022-03-11 12:10;17;150
2022-03-11 12:20;18;150
2022-03-11 12:30;14;150
2022-03-11 12:40;13;150
2022-03-11 12:50;15;150
2022-03-11 13:00;10;150
2022-03-11 13:10;13;150
2022-03-11 13:20;14;150
2022-03-11 13:30;11;150
2022-03-11 13:40;10;150
2022-03-11 13:50;11;150
2022-03-11 14:00;9;150
2022-03-11 14:10;16;150
2022-03-11 14:20;15;150
2022-03-11 14:30;15;150
2022-03-11 14:40;15;150
2022-03-11 14:50;14;150
2022-03-11 15:00;16;150
2022-03-11 15:10;16;150
2022-03-11 15:20;17;150
2022-03-11 15:30;21;150
2022-03-11 15:40;23;150
2022-03-11 15:50;21;150
2022-03-11 16:00;20;150
2022-03-11 16:10;24;150
2022-03-11 16:20;29;150
2022-03-11 16:30;32;150
2022-03-11 16:40;39;150
2022-03-11 16:50;37;150
2022-03-11 17:00;48;150
2022-03-11 17:10;52;150
2022-03-11 17:20;62;150
2022-03-11 17:30;71;150
2022-03-11 17:40;66;150
2022-03-11 17:50;73;150
2022-03-11 18:00;68;150
2022-03-11 18:10;69;150
2022-03-11 18:20;72;150
2022-03-11 18:30;77;150
2022-03-11 18:40;71;150
2022-03-11 18:50;65;150
2022-03-11 19:00;69;150
2022-03-11 19:10;65;150
2022-03-11 19:20;64;150
2022-03-11 19:30;68;150
2022-03-11 19:40;61;150
2022-03-11 19:50;60;150
2022-03-11 20:00;57;150
2022-03-11 20:10;52;150
2022-03-11 20:20;52;150
2022-03-11 20:30;53;150
2022-03-11 20:40;53;150
2022-03-11 20:50;51;150
2022-03-11 21:00;44;150
2022-03-11 21:10;38;150
2022-03-11 21:20;30;150
2022-03-11 21:30;29;150
2022-03-11 21:40;26;150
2022-03-11 21:50;24;150
2022-03-11 22:00;16;150
2022-03-11 22:10;10;150
2022-03-11 22:20;3;150
2022-03-11 22:30;-1;150
2022-03-11 22:40;-6;150
2022-03-11 22:50;-6;150
2022-03-11 23:00;-20;150
2022-03-11 23:10;-20;150
2022-03-11 23:20;-20;150
2022-03-11 23:30;-20;150
2022-03-11 23:40;-20;150
2022-03-11 23:50;-20;150
