date;visitors;capacity
2022-04-08 00:00;-149;142
2022-04-08 00:10;-150;142
2022-04-08 00:20;-146;142
2022-04-08 00:30;-147;142
2022-04-08 00:40;-148;142
2022-04-08 00:50;-146;142
2022-04-08 01:00;-147;142
2022-04-08 01:10;-149;142
2022-04-08 01:20;-148;142
2022-04-08 01:30;-148;142
2022-04-08 01:40;-150;142
2022-04-08 01:50;-149;142
2022-04-08 02:00;-148;142
2022-04-08 02:10;-148;142
2022-04-08 02:20;-148;142
2022-04-08 02:30;-150;142
2022-04-08 02:40;-148;142
2022-04-08 02:50;-150;142
2022-04-08 03:00;-146;142
2022-04-08 03:10;-146;142
2022-04-08 03:20;-147;142
2022-04-08 03:30;-149;142
2022-04-08 03:40;-148;142
2022-04-08 03:50;-150;142
2022-04-08 04:00;-148;142
2022-04-08 04:10;-149;142
2022-04-08 04:20;-147;142
2022-04-08 04:30;-149;142
2022-04-08 04:40;-146;142
2022-04-08 04:50;-149;142
2022-04-08 05:00;-148;142
2022-04-08 05:10;-146;142
2022-04-08 05:20;-148;142
2022-04-08 05:30;-147;142
2022-04-08 05:40;-149;142
2022-04-08 05:50;-146;142
2022-04-08 06:00;-148;142
2022-04-08 06:10;-149;142
2022-04-08 06:20;-146;142
2022-04-08 06:30;-149;142
2022-04-08 06:40;-146;142
2022-04-08 06:50;-149;142
2022-04-08 07:00;-149;142
2022-04-08 07:10;-149;142
2022-04-08 07:20;-149;142
2022-04-08 07:30;-147;142
2022-04-08 07:40;-146;142
2022-04-08 07:50;-147;142
2022-04-08 08:00;-149;142
2022-04-08 08:10;-148;142
2022-04-08 08:20;-149;142
2022-04-08 08:30;-149;142
2022-04-08 08:40;-147;142
2022-04-08 08:50;-148;142
2022-04-08 09:00;-119;142
2022-04-08 09:10;-119;142
2022-04-08 09:20;-114;142
2022-04-08 09:30;-111;142
2022-04-08 09:40;-111;142
2022-04-08 09:50;-110;142
2022-04-08 10:00;-107;142
2022-04-08 10:10;-111;142
2022-04-08 10:20;-116;142
2022-04-08 10:30;-113;142
2022-04-08 10:40;-112;142
2022-04-08 10:50;-110;142
2022-04-08 11:00;-103;142
2022-04-08 11:10;-96;142
2022-04-08 11:20;-93;142
2022-04-08 11:30;-94;142
2022-04-08 11:40;-91;142
2022-04-08 11:50;-82;142
2022-04-08 12:00;-77;142
2022-04-08 12:10;-81;142
2022-04-08 12:20;-86;142
2022-04-08 12:30;-91;142
2022-04-08 12:40;-97;142
2022-04-08 12:50;-98;142
2022-04-08 13:00;-102;142
2022-04-08 13:10;-108;142
2022-04-08 13:20;-107;142
2022-04-08 13:30;-106;142
2022-04-08 13:40;-108;142
2022-04-08 13:50;-105;142
2022-04-08 14:00;-107;142
2022-04-08 14:10;-102;142
2022-04-08 14:20;-103;142
2022-04-08 14:30;-100;142
2022-04-08 14:40;-92;142
2022-04-08 14:50;-85;142
2022-04-08 15:00;-88;142
2022-04-08 15:10;-86;142
2022-04-08 15:20;-88;142
2022-04-08 15:30;-79;142
2022-04-08 15:40;-73;142
2022-04-08 15:50;-76;142
2022-04-08 16:00;-79;142
2022-04-08 16:10;-85;142
2022-04-08 16:20;-78;142
2022-04-08 16:30;-70;142
2022-04-08 16:40;-62;142
2022-04-08 16:50;-50;142
2022-04-08 17:00;-35;142
2022-04-08 17:10;-28;142
2022-04-08 17:20;-16;142
2022-04-08 17:30;-15;142
2022-04-08 17:40;-13;142
2022-04-08 17:50;-2;142
2022-04-08 18:00;-2;142
2022-04-08 18:10;-4;142
2022-04-08 18:20;3;142
2022-04-08 18:30;3;142
2022-04-08 18:40;-10;142
2022-04-08 18:50;-29;142
2022-04-08 19:00;-25;142
2022-04-08 19:10;-28;142
2022-04-08 19:20;-35;142
2022-04-08 19:30;-32;142
2022-04-08 19:40;-40;142
2022-04-08 19:50;-50;142
2022-04-08 20:00;-55;142
2022-04-08 20:10;-54;142
2022-04-08 20:20;-61;142
2022-04-08 20:30;-69;142
2022-04-08 20:40;-76;142
2022-04-08 20:50;-91;142
2022-04-08 21:00;-100;142
2022-04-08 21:10;-100;142
2022-04-08 21:20;-104;142
2022-04-08 21:30;-109;142
2022-04-08 21:40;-109;142
2022-04-08 21:50;-107;142
2022-04-08 22:00;-148;142
2022-04-08 22:10;-146;142
2022-04-08 22:20;-150;142
2022-04-08 22:30;-147;142
2022-04-08 22:40;-146;142
2022-04-08 22:50;-149;142
2022-04-08 23:00;-146;142
2022-04-08 23:10;-150;142
2022-04-08 23:20;-146;142
2022-04-08 23:30;-148;142
2022-04-08 23:40;-149;142
2022-04-08 23:50;-147;142
