date;visitors;capacity
2022-02-09 00:00;-32;142
2022-02-09 00:10;-35;142
2022-02-09 00:20;-34;142
2022-02-09 00:30;-35;142
2022-02-09 00:40;-33;142
2022-02-09 00:50;-33;142
2022-02-09 01:00;-34;142
2022-02-09 01:10;-31;142
2022-02-09 01:20;-35;142
2022-02-09 01:30;-35;142
2022-02-09 01:40;-32;142
2022-02-09 01:50;-35;142
2022-02-09 02:00;-35;142
2022-02-09 02:10;-32;142
2022-02-09 02:20;-35;142
2022-02-09 02:30;-33;142
2022-02-09 02:40;-33;142
2022-02-09 02:50;-32;142
2022-02-09 03:00;-33;142
2022-02-09 03:10;-34;142
2022-02-09 03:20;-33;142
2022-02-09 03:30;-32;142
2022-02-09 03:40;-32;142
2022-02-09 03:50;-35;142
2022-02-09 04:00;-31;142
2022-02-09 04:10;-34;142
2022-02-09 04:20;-31;142
2022-02-09 04:30;-35;142
2022-02-09 04:40;-32;142
2022-02-09 04:50;-33;142
2022-02-09 05:00;-32;142
2022-02-09 05:10;-33;142
2022-02-09 05:20;-31;142
2022-02-09 05:30;-32;142
2022-02-09 05:40;-35;142
2022-02-09 05:50;-33;142
2022-02-09 06:00;-32;142
2022-02-09 06:10;-31;142
2022-02-09 06:20;-31;142
2022-02-09 06:30;-31;142
2022-02-09 06:40;-35;142
2022-02-09 06:50;-33;142
2022-02-09 07:00;-33;142
2022-02-09 07:10;-33;142
2022-02-09 07:20;-33;142
2022-02-09 07:30;-34;142
2022-02-09 07:40;-33;142
2022-02-09 07:50;-35;142
2022-02-09 08:00;-33;142
2022-02-09 08:10;-35;142
2022-02-09 08:20;-32;142
2022-02-09 08:30;-33;142
2022-02-09 08:40;-33;142
2022-02-09 08:50;-32;142
2022-02-09 09:00;-34;142
2022-02-09 09:10;5;142
2022-02-09 09:20;2;142
2022-02-09 09:30;4;142
2022-02-09 09:40;5;142
2022-02-09 09:50;8;142
2022-02-09 10:00;3;142
2022-02-09 10:10;7;142
2022-02-09 10:20;4;142
2022-02-09 10:30;9;142
2022-02-09 10:40;5;142
2022-02-09 10:50;2;142
2022-02-09 11:00;3;142
2022-02-09 11:10;5;142
2022-02-09 11:20;7;142
2022-02-09 11:30;10;142
2022-02-09 11:40;16;142
2022-02-09 11:50;14;142
2022-02-09 12:00;12;142
2022-02-09 12:10;14;142
2022-02-09 12:20;13;142
2022-02-09 12:30;16;142
2022-02-09 12:40;21;142
2022-02-09 12:50;26;142
2022-02-09 13:00;24;142
2022-02-09 13:10;24;142
2022-02-09 13:20;20;142
2022-02-09 13:30;20;142
2022-02-09 13:40;17;142
2022-02-09 13:50;17;142
2022-02-09 14:00;11;142
2022-02-09 14:10;9;142
2022-02-09 14:20;8;142
2022-02-09 14:30;7;142
2022-02-09 14:40;5;142
2022-02-09 14:50;5;142
2022-02-09 15:00;3;142
2022-02-09 15:10;6;142
2022-02-09 15:20;10;142
2022-02-09 15:30;14;142
2022-02-09 15:40;17;142
2022-02-09 15:50;14;142
2022-02-09 16:00;23;142
2022-02-09 16:10;31;142
2022-02-09 16:20;42;142
2022-02-09 16:30;49;142
2022-02-09 16:40;54;142
2022-02-09 16:50;60;142
2022-02-09 17:00;81;142
2022-02-09 17:10;76;142
2022-02-09 17:20;82;142
2022-02-09 17:30;94;142
2022-02-09 17:40;98;142
2022-02-09 17:50;106;142
2022-02-09 18:00;107;142
2022-02-09 18:10;103;142
2022-02-09 18:20;118;142
2022-02-09 18:30;131;142
2022-02-09 18:40;113;142
2022-02-09 18:50;107;142
2022-02-09 19:00;110;142
2022-02-09 19:10;119;142
2022-02-09 19:20;119;142
2022-02-09 19:30;138;142
2022-02-09 19:40;124;142
2022-02-09 19:50;116;142
2022-02-09 20:00;115;142
2022-02-09 20:10;106;142
2022-02-09 20:20;108;142
2022-02-09 20:30;110;142
2022-02-09 20:40;103;142
2022-02-09 20:50;94;142
2022-02-09 21:00;86;142
2022-02-09 21:10;89;142
2022-02-09 21:20;82;142
2022-02-09 21:30;78;142
2022-02-09 21:40;58;142
2022-02-09 21:50;51;142
2022-02-09 22:00;42;142
2022-02-09 22:10;-32;142
2022-02-09 22:20;-33;142
2022-02-09 22:30;-34;142
2022-02-09 22:40;-31;142
2022-02-09 22:50;-31;142
2022-02-09 23:00;-34;142
2022-02-09 23:10;-31;142
2022-02-09 23:20;-33;142
2022-02-09 23:30;-34;142
2022-02-09 23:40;-31;142
2022-02-09 23:50;-35;142
