date;visitors;capacity
2020-08-05 00:00;18;149
2020-08-05 00:10;17;149
2020-08-05 00:20;17;149
2020-08-05 00:30;16;149
2020-08-05 00:40;17;149
2020-08-05 00:50;15;149
2020-08-05 01:00;14;149
2020-08-05 01:10;6;149
2020-08-05 01:20;3;149
2020-08-05 01:30;3;149
2020-08-05 01:40;1;149
2020-08-05 01:50;1;149
2020-08-05 02:00;1;149
2020-08-05 02:10;1;149
2020-08-05 02:20;1;149
2020-08-05 02:30;0;149
2020-08-05 02:40;0;149
2020-08-05 02:50;0;149
2020-08-05 03:00;0;149
2020-08-05 03:10;0;149
2020-08-05 03:20;0;149
2020-08-05 03:30;0;149
2020-08-05 03:40;0;149
2020-08-05 03:50;0;149
2020-08-05 04:00;1;149
2020-08-05 04:10;1;149
2020-08-05 04:20;1;149
2020-08-05 04:30;4;149
2020-08-05 04:40;5;149
2020-08-05 04:50;4;149
2020-08-05 05:00;5;149
2020-08-05 05:10;6;149
2020-08-05 05:20;6;149
2020-08-05 05:30;8;149
2020-08-05 05:40;10;149
2020-08-05 05:50;14;149
2020-08-05 06:00;22;149
2020-08-05 06:10;25;149
2020-08-05 06:20;31;149
2020-08-05 06:30;36;149
2020-08-05 06:40;41;149
2020-08-05 06:50;40;149
2020-08-05 07:00;42;149
2020-08-05 07:10;42;149
2020-08-05 07:20;36;149
2020-08-05 07:30;36;149
2020-08-05 07:40;31;149
2020-08-05 07:50;30;149
2020-08-05 08:00;29;149
2020-08-05 08:10;25;149
2020-08-05 08:20;21;149
2020-08-05 08:30;24;149
2020-08-05 08:40;27;149
2020-08-05 08:50;28;149
2020-08-05 09:00;31;149
2020-08-05 09:10;35;149
2020-08-05 09:20;37;149
2020-08-05 09:30;47;149
2020-08-05 09:40;50;149
2020-08-05 09:50;50;149
2020-08-05 10:00;52;149
2020-08-05 10:10;57;149
2020-08-05 10:20;56;149
2020-08-05 10:30;55;149
2020-08-05 10:40;51;149
2020-08-05 10:50;47;149
2020-08-05 11:00;47;149
2020-08-05 11:10;43;149
2020-08-05 11:20;43;149
2020-08-05 11:30;48;149
2020-08-05 11:40;48;149
2020-08-05 11:50;46;149
2020-08-05 12:00;47;149
