date;visitors;capacity
2022-01-18 00:00;-25;95
2022-01-18 00:10;-25;95
2022-01-18 00:20;-25;95
2022-01-18 00:30;-25;95
2022-01-18 00:40;-25;95
2022-01-18 00:50;-25;95
2022-01-18 01:00;-25;95
2022-01-18 01:10;-25;95
2022-01-18 01:20;-25;95
2022-01-18 01:30;-25;95
2022-01-18 01:40;-25;95
2022-01-18 01:50;-25;95
2022-01-18 02:00;-25;95
2022-01-18 02:10;-25;95
2022-01-18 02:20;-25;95
2022-01-18 02:30;-25;95
2022-01-18 02:40;-25;95
2022-01-18 02:50;-25;95
2022-01-18 03:00;-25;95
2022-01-18 03:10;-25;95
2022-01-18 03:20;-25;95
2022-01-18 03:30;-25;95
2022-01-18 03:40;-25;95
2022-01-18 03:50;-25;95
2022-01-18 04:00;-25;95
2022-01-18 04:10;-25;95
2022-01-18 04:20;-25;95
2022-01-18 04:30;-25;95
2022-01-18 04:40;-25;95
2022-01-18 04:50;-25;95
2022-01-18 05:00;-25;95
2022-01-18 05:10;-25;95
2022-01-18 05:20;-25;95
2022-01-18 05:30;-25;95
2022-01-18 05:40;-25;95
2022-01-18 05:50;-25;95
2022-01-18 06:00;-25;95
2022-01-18 06:10;-25;95
2022-01-18 06:20;-25;95
2022-01-18 06:30;-25;95
2022-01-18 06:40;-25;95
2022-01-18 06:50;-25;95
2022-01-18 07:00;-25;95
2022-01-18 07:10;-25;95
2022-01-18 07:20;-25;95
2022-01-18 07:30;-25;95
2022-01-18 07:40;-25;95
2022-01-18 07:50;-25;95
2022-01-18 08:00;-22;95
2022-01-18 08:10;-14;95
2022-01-18 08:20;-13;95
2022-01-18 08:30;-8;95
2022-01-18 08:40;-10;95
2022-01-18 08:50;-8;95
2022-01-18 09:00;-2;95
2022-01-18 09:10;5;95
2022-01-18 09:20;9;95
2022-01-18 09:30;10;95
2022-01-18 09:40;10;95
2022-01-18 09:50;6;95
2022-01-18 10:00;11;95
2022-01-18 10:10;15;95
2022-01-18 10:20;18;95
2022-01-18 10:30;20;95
2022-01-18 10:40;18;95
2022-01-18 10:50;18;95
2022-01-18 11:00;18;95
2022-01-18 11:10;19;95
2022-01-18 11:20;18;95
2022-01-18 11:30;21;95
2022-01-18 11:40;20;95
2022-01-18 11:50;22;95
2022-01-18 12:00;20;95
2022-01-18 12:10;18;95
2022-01-18 12:20;22;95
2022-01-18 12:30;20;95
2022-01-18 12:40;20;95
2022-01-18 12:50;15;95
2022-01-18 13:00;9;95
2022-01-18 13:10;5;95
2022-01-18 13:20;6;95
2022-01-18 13:30;-1;95
2022-01-18 13:40;-1;95
2022-01-18 13:50;-1;95
2022-01-18 14:00;2;95
2022-01-18 14:10;10;95
2022-01-18 14:20;12;95
2022-01-18 14:30;14;95
2022-01-18 14:40;13;95
2022-01-18 14:50;16;95
2022-01-18 15:00;14;95
2022-01-18 15:10;23;95
2022-01-18 15:20;28;95
2022-01-18 15:30;26;95
2022-01-18 15:40;29;95
2022-01-18 15:50;36;95
2022-01-18 16:00;40;95
2022-01-18 16:10;45;95
2022-01-18 16:20;51;95
2022-01-18 16:30;51;95
2022-01-18 16:40;57;95
2022-01-18 16:50;60;95
2022-01-18 17:00;61;95
2022-01-18 17:10;66;95
2022-01-18 17:20;67;95
2022-01-18 17:30;77;95
2022-01-18 17:40;77;95
2022-01-18 17:50;82;95
2022-01-18 18:00;79;95
2022-01-18 18:10;87;95
2022-01-18 18:20;95;95
2022-01-18 18:30;90;95
2022-01-18 18:40;95;95
2022-01-18 18:50;94;95
2022-01-18 19:00;92;95
2022-01-18 19:10;91;95
2022-01-18 19:20;95;95
2022-01-18 19:30;85;95
2022-01-18 19:40;74;95
2022-01-18 19:50;70;95
2022-01-18 20:00;61;95
2022-01-18 20:10;54;95
2022-01-18 20:20;47;95
2022-01-18 20:30;42;95
2022-01-18 20:40;33;95
2022-01-18 20:50;26;95
2022-01-18 21:00;20;95
2022-01-18 21:10;16;95
2022-01-18 21:20;11;95
2022-01-18 21:30;3;95
2022-01-18 21:40;0;95
2022-01-18 21:50;-2;95
2022-01-18 22:00;-8;95
2022-01-18 22:10;-10;95
2022-01-18 22:20;-16;95
2022-01-18 22:30;-20;95
2022-01-18 22:40;-25;95
2022-01-18 22:50;-25;95
2022-01-18 23:00;-25;95
2022-01-18 23:10;-25;95
2022-01-18 23:20;-25;95
2022-01-18 23:30;-25;95
2022-01-18 23:40;-25;95
2022-01-18 23:50;-25;95
