date;visitors;capacity
2020-07-24 00:00;22;149
2020-07-24 00:10;22;149
2020-07-24 00:20;22;149
2020-07-24 00:30;22;149
2020-07-24 00:40;22;149
2020-07-24 00:50;22;149
2020-07-24 01:00;22;149
2020-07-24 01:10;22;149
2020-07-24 01:20;22;149
2020-07-24 01:30;22;149
2020-07-24 01:40;22;149
2020-07-24 01:50;22;149
2020-07-24 02:00;22;149
2020-07-24 02:10;22;149
2020-07-24 02:20;22;149
2020-07-24 02:30;22;149
2020-07-24 02:40;22;149
2020-07-24 02:50;22;149
2020-07-24 03:00;22;149
2020-07-24 03:10;22;149
2020-07-24 03:20;22;149
2020-07-24 03:30;22;149
2020-07-24 03:40;22;149
2020-07-24 03:50;14;149
2020-07-24 04:00;14;149
2020-07-24 04:10;14;149
2020-07-24 04:20;14;149
2020-07-24 04:30;14;149
2020-07-24 04:40;14;149
2020-07-24 04:50;17;149
2020-07-24 05:00;17;149
2020-07-24 05:10;16;149
2020-07-24 05:20;15;149
2020-07-24 05:30;16;149
2020-07-24 05:40;21;149
2020-07-24 05:50;22;149
2020-07-24 06:00;22;149
2020-07-24 06:10;13;149
2020-07-24 06:20;14;149
2020-07-24 06:30;16;149
2020-07-24 06:40;16;149
2020-07-24 06:50;19;149
2020-07-24 07:00;28;149
2020-07-24 07:10;30;149
2020-07-24 07:20;29;149
2020-07-24 07:30;33;149
2020-07-24 07:40;34;149
2020-07-24 07:50;34;149
2020-07-24 08:00;41;149
2020-07-24 08:10;41;149
2020-07-24 08:20;39;149
2020-07-24 08:30;39;149
2020-07-24 08:40;36;149
2020-07-24 08:50;38;149
2020-07-24 09:00;41;149
2020-07-24 09:10;39;149
2020-07-24 09:20;44;149
2020-07-24 09:30;56;149
2020-07-24 09:40;55;149
2020-07-24 09:50;52;149
2020-07-24 10:00;52;149
2020-07-24 10:10;52;149
2020-07-24 10:20;51;149
2020-07-24 10:30;49;149
2020-07-24 10:40;41;149
2020-07-24 10:50;38;149
2020-07-24 11:00;38;149
2020-07-24 11:10;41;149
2020-07-24 11:20;46;149
2020-07-24 11:30;46;149
2020-07-24 11:40;47;149
2020-07-24 11:50;53;149
2020-07-24 12:00;54;149
2020-07-24 12:10;50;149
2020-07-24 12:20;51;149
2020-07-24 12:30;53;149
2020-07-24 12:40;55;149
2020-07-24 12:50;53;149
2020-07-24 13:00;50;149
2020-07-24 13:10;55;149
2020-07-24 13:20;61;149
2020-07-24 13:30;60;149
2020-07-24 13:40;55;149
2020-07-24 13:50;56;149
2020-07-24 14:00;53;149
2020-07-24 14:10;51;149
2020-07-24 14:20;49;149
2020-07-24 14:30;50;149
2020-07-24 14:40;57;149
2020-07-24 14:50;57;149
2020-07-24 15:00;51;149
2020-07-24 15:10;52;149
2020-07-24 15:20;57;149
2020-07-24 15:30;64;149
2020-07-24 15:40;58;149
2020-07-24 15:50;59;149
2020-07-24 16:00;56;149
2020-07-24 16:10;59;149
2020-07-24 16:20;56;149
2020-07-24 16:30;59;149
2020-07-24 16:40;63;149
2020-07-24 16:50;70;149
2020-07-24 17:00;80;149
2020-07-24 17:10;78;149
2020-07-24 17:20;84;149
2020-07-24 17:30;85;149
2020-07-24 17:40;80;149
2020-07-24 17:50;77;149
2020-07-24 18:00;78;149
2020-07-24 18:10;78;149
2020-07-24 18:20;89;149
2020-07-24 18:30;85;149
2020-07-24 18:40;75;149
2020-07-24 18:50;71;149
2020-07-24 19:00;74;149
2020-07-24 19:10;78;149
2020-07-24 19:20;81;149
2020-07-24 19:30;85;149
2020-07-24 19:40;78;149
2020-07-24 19:50;79;149
2020-07-24 20:00;77;149
2020-07-24 20:10;78;149
2020-07-24 20:20;78;149
2020-07-24 20:30;71;149
2020-07-24 20:40;64;149
2020-07-24 20:50;57;149
2020-07-24 21:00;59;149
2020-07-24 21:10;50;149
2020-07-24 21:20;52;149
2020-07-24 21:30;55;149
2020-07-24 21:40;50;149
2020-07-24 21:50;46;149
2020-07-24 22:00;41;149
2020-07-24 22:10;39;149
2020-07-24 22:20;29;149
2020-07-24 22:30;25;149
2020-07-24 22:40;26;149
2020-07-24 22:50;22;149
2020-07-24 23:00;22;149
2020-07-24 23:10;20;149
2020-07-24 23:20;24;149
2020-07-24 23:30;23;149
2020-07-24 23:40;21;149
2020-07-24 23:50;20;149
